{'formasi_id': '07cfc4b9-ff47-4682-9a5f-3fb9bf276314', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK SIDOARJO | KLINIK PRATAMA BNNK SIDOARJO', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '3e66d371-75c1-4c41-b15c-df5a85d057f0', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK LUMAJANG | KLINIK PRATAMA BANYAK WIDE BNNK LUMAJANG', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '4556290e-5f6c-4604-bba5-eaf66bb97092', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATENG | BNNK TEMANGGUNG | Klinik Pratama BNNK Temanggung', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '4eb9740c-a406-4ef9-b9dc-38b35c05817a', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP LAMPUNG | BNN KABUPATEN LAMPUNG TIMUR | Klinik Pratama BNN Kabupaten Lampung Timur', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '54af4982-2f35-4247-aff1-0d0654fea1a3', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK NGANJUK | KLINIK BNNK', 'jumlah_formasi': 2, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '5a81e0cb-bd9f-40a0-b9f9-bbc24843ffb4', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP BABEL | BNN KABUPATEN BANGKA | Klinik Pratama Badan Narkotika Nasional Kab Bangka', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '5fb22416-3feb-4f51-9679-2c383c7d9ea2', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | DEPUTI BIDANG REHABILITASI BNN | BALAI REHABILITASI BADDOKA | Klinik BNN Baddoka', 'jumlah_formasi': 2, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '65433e97-db92-43fa-a32b-ddf36942f249', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | Klinik Pratama BNN Provinsi Jawa Timur', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '678bb890-c710-4e98-992c-ea9ea94a6655', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP SUMBAR | BNN KOTA SAWAHLUNTO | Klinik Pratama BNN Kota Sawahlunto', 'jumlah_formasi': 2, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '68c334bf-32d9-4a34-b884-e0a563048ad0', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALSEL | BNN KABUPATEN BARITO KUALA | Klinik Pratama Bahalap BNN Kab. Barito Kuala', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '6de8a2c4-408e-492d-b1ef-8b218d4bad5f', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATENG | BNNK PURBALINGGA | Klinik Pratama BNNK Purbalingga', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '712acac0-a647-4c6f-88f4-587829ab7abb', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP SULTENG | BNN KABUPATEN TOJO UNA-UNA | Klinik Musampesuvu Pura BNNK Tojo Una una', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '76cc82eb-50b1-41a0-88f4-a55dd21067a4', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | DEPUTI BIDANG REHABILITASI BNN | LOKA REHABILITASI NARKOTIKA BATAM | Klinik Pratama Loka Rehabilitasi BNN Batam', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '8772d19f-f411-498a-a5f0-1fbe6634a54e', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALBAR | BNN KABUPATEN BENGKAYANG | KLINIK SEBALO BNNK BENGKAYANG', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '8836de56-2fd4-4243-9180-2bbf7df77b4c', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP BALI | Klinik Badan Narkotika Nasional Provinsi Bali', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '963034f2-c75c-41d1-be22-64925695a84d', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK TUBAN | Klinik Pratama Arjana Medika Badan Narkotika Nasional Kab Tuban', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '98374b48-d37d-491a-b3f7-1200bd15c66f', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KEPULAUAN RIAU | BNN KOTA TANJUNG PINANG | Klinik Pratama Badan Narkotika Nasional  Kota Tanjungpinang', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '99702dbe-aa08-48e8-bd67-d59c196b0831', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP SULTENG | BNN KABUPATEN BANGGAI KEPULAUAN | Klinik Pratama Montolutusan', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': '9f921523-6c6b-484a-8f86-2271cfc3b3b4', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP BALI | BNN KABUPATEN KLUNGKUNG | Klinik Pratama Badan Narkotika Nasional Kabupaten Klungkung', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'a56f470a-5579-436c-b46b-8052fa791004', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK TRENGGALEK | Klinik Pratama Rawat Jalan Harapan Sehat BNNK Trenggalek', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'af33499e-cfad-4945-815b-a2505ab89c59', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP PAPUA BARAT | Klinik Pratama Kasuari BNNP Papua Barat', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'b748fc00-1d0c-4c82-bf35-26c5033ec4a1', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK BLITAR | Klinik BNN Kab. Blitar', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'ba9c9d0e-056b-4424-84e8-063096b0954f', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALSEL | BNN KABUPATEN TANAH LAUT | Klinik Pratama BNN Kab. Tanah Laut', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'bf95c401-5071-4a26-87be-526182831800', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP BANTEN | BNN KOTA CILEGON | Klinik Pratama BNN Kota Cilegon', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'd9f0bcae-edd9-49e4-89c7-a3199a40f64f', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JABAR | BNNK BOGOR | Klinik Pratama Rawat Jalan Tegar Beriman BNN Kabupaten Bogor', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'da2675a1-7d8a-4568-a0bd-8431c8c22bc4', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP ACEH | BNN KABUPATEN ACEH SELATAN | KLINIK BNNK ACEH SELATAN', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'da3b3fa2-11ee-4aea-9529-314173e14ba5', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALTARA | BNN KOTA TARAKAN | KLINIK PRATAMA BNN', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e6e99d67-c2f9-4cb5-aa98-2c2eb546f6aa', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP SUMSEL | BNN KOTA PRABUMULIH | Klinik Pratama BNN Kota Prabumulih', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e94bbe38-6965-453e-a00f-285ae4a7002b', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALBAR | BNN KOTA PONTIANAK | KLINIK PRATAMA SEHAT SEJATI BNN KOTA PONTIANAK', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e952936e-237a-49b1-9433-804c762ba3ad', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP KALTENG | BNN KABUPATEN KOTAWARINGIN BARAT | Klinik Pratama Badan Narkotika Nasional  Kab. Kotawaringin Barat', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e985146b-74ba-4bee-afba-0f9fd212fd59', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | DEPUTI BIDANG REHABILITASI BNN | BALAI REHABILITASI NARKOTIKA TANAH MERAH | Klinik Pratama Balai Rehabilitasi BNN Tanah Merah Samarinda', 'jumlah_formasi': 2, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'eea29de4-04b1-43b1-965b-bebb4ba49a15', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP BANTEN | KLINIK PRATAMA BNNP BANTEN', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'f5d50de3-ce7f-44a9-85c2-5f3ab85482df', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNN KOTA MALANG | Klinik Pratama BNN Kota Malang', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'f629c94a-66a8-423a-adbc-dee41838c052', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP SULTRA | BNN KABUPATEN KOLAKA | Klinik Badan Narkotika Nasional ( BNN )', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'f69f1145-14c3-4910-9d1b-7a6d9849ec71', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JAMBI | BNN KOTA JAMBI | Klinik Pratama BNN Kota Jambi', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'cf72dcc7-7266-4439-b5a2-e5dc0db35306', 'ins_nm': 'Badan Pelindungan Pekerja Migran Indonesia', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Badan Pelindungan Pekerja Migran Indonesia | SEKRETARIAT UTAMA | BIRO SUMBER DAYA MANUSIA DAN ORGANISASI | Klinik Pratama Migran BP2MI', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7381620', 'gaji_max': '7999112', 'jumlah_ms': 0}
{'formasi_id': '8a03859d92235279019223637edc0206', 'ins_nm': 'Badan Pemeriksa Keuangan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Badan Pemeriksa Keuangan', 'jumlah_formasi': 26, 'disable': 0, 'gaji_min': '10000000', 'gaji_max': '13000000', 'jumlah_ms': 0}
{'formasi_id': '418c23b2-3028-43ef-b75b-6cbe3230097d', 'ins_nm': 'Badan Pengawas Obat dan Makanan ', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Badan Pengawas Obat dan Makanan | Sekretariat Utama | Biro Sumber Daya Manusia | Klinik Pratama BPOM | KLINIK PRATAMA BADAN POM', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '6700000', 'gaji_max': '8500000', 'jumlah_ms': 0}
{'formasi_id': '102a8b04-6027-4468-a084-22545f04ba14', 'ins_nm': 'Kementerian Dalam Negeri', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL BINA PEMERINTAHAN DESA | BALAI PEMERINTAHAN DESA DI YOGYAKARTA | KLINIK PRATAMA BALAI PEMDES DI YOGYAKARTA', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '8000000', 'gaji_max': '15000000', 'jumlah_ms': 0}
{'formasi_id': '3b667d4e-b0a2-4106-be13-ddeead336491', 'ins_nm': 'Kementerian Dalam Negeri', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'KEMENTERIAN DALAM NEGERI | DIREKTORAT JENDERAL BINA PEMERINTAHAN DESA | SEKRETARIAT DIREKTORAT JENDERAL BINA PEMERINTAHAN DESA | Klinik Pratama Poliklinik Ditjen Bina Pemdes Kemendagri', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '8000000', 'gaji_max': '15000000', 'jumlah_ms': 0}
